0.580952	0.87619	-61	1	-0.752381	-0.809524	2	1
0.566038	0.858491	-58	1	-0.754717	-0.811321	-2	1
0.575472	0.858491	-60	1	-0.745283	-0.811321	-2	1
0.571429	0.87619	-62	1	-0.771429	-0.809524	-2	1
0.576923	0.894231	-66	1	-0.778846	-0.798077	-8	1
0.582524	0.92233	-65	1	-0.786408	-0.786408	-7	1
0.592233	0.912621	-62	1	-0.786408	-0.805825	-7	1
0.586538	0.894231	-62	1	-0.778846	-0.817308	-9	1
0.592233	0.912621	-62	1	-0.805825	-0.815534	-11	1
0.586538	0.903846	-63	1	-0.836538	-0.807692	-14	1
0.586538	0.903846	-60	1	-0.865385	-0.807692	-17	1
0.576923	0.913462	-60	1	-0.951923	-0.788462	-21	1
0.576923	0.913462	-59	1	-1.00962	-0.798077	-24	1
0.586538	0.903846	-59	1	-1.05769	-0.798077	-24	1
0.586538	0.903846	-60	1	-1.125	-0.817308	-26	1
0.592233	0.912621	-61	1	-1.19417	-0.815534	-29	1
0.601942	0.912621	-66	1	-1.23301	-0.805825	-31	1
0.605769	0.884615	-67	1	-1.29808	-0.807692	-34	1
0.615385	0.894231	-69	1	-1.38462	-0.798077	-37	1
0.6	0.87619	-67	1	-1.41905	-0.8	-39	1
0.609524	0.87619	-72	1	-1.47619	-0.790476	-43	1
0.621359	0.902913	-75	1	-1.5534	-0.786408	-41	1
0.621359	0.902913	-76	1	-1.60194	-0.728155	-41	1
0.609524	0.857143	-74	1	-1.64762	-0.72381	-41	1
0.609524	0.847619	-74	1	-1.70476	-0.742857	-42	1
0.625	0.875	-76	1	-1.79808	-0.730769	-42	1
0.619048	0.857143	-75	1	-1.85714	-0.733333	-38	1
0.640777	0.902913	-79	1	-1.92233	-0.708738	-37	1
0.644231	0.903846	-78	1	-1.92308	-0.701923	-33	1
0.634615	0.894231	-77	1	-1.93269	-0.692308	-34	1
0.640777	0.912621	-76	1	-1.96117	-0.708738	-33	1
0.640777	0.912621	-74	1	-1.97087	-0.708738	-33	1
0.640777	0.912621	-73	1	-1.97087	-0.708738	-32	1
0.640777	0.902913	-72	1	-1.96117	-0.708738	-31	1
0.647059	0.931373	-69	1	-1.97059	-0.715686	-35	1
0.656863	0.921569	-72	1	-1.96078	-0.72549	-38	1
0.656863	0.921569	-73	1	-1.96078	-0.735294	-39	1
0.656863	0.921569	-72	1	-1.98039	-0.745098	-47	1
0.647059	0.911765	-70	1	-1.97059	-0.754902	-45	1
0.647059	0.911765	-70	1	-1.96078	-0.764706	-47	1
0.607843	0.921569	-64	1	-0.764706	-0.803922	-13	1
0.6	0.87619	-63	1	-0.742857	-0.8	-10	1
0.609524	0.866667	-61	1	-0.733333	-0.790476	-10	1
0.603774	0.858491	-62	1	-0.745283	-0.792453	-10	1
0.625	0.884615	-64	1	-0.75	-0.798077	-13	1
0.631068	0.902913	-64	1	-0.76699	-0.805825	-19	1
0.625	0.894231	-61	1	-0.769231	-0.798077	-18	1
0.619048	0.87619	-60	1	-0.8	-0.809524	-15	1
0.619048	0.866667	-62	1	-0.819048	-0.819048	-17	1
0.619048	0.866667	-62	1	-0.857143	-0.819048	-20	1
0.619048	0.866667	-63	1	-0.933333	-0.819048	-24	1
0.613208	0.858491	-64	1	-0.981132	-0.839623	-33	1
0.613208	0.858491	-65	1	-1.04717	-0.849057	-37	1
0.613208	0.858491	-67	1	-1.11321	-0.858491	-40	1
0.619048	0.87619	-66	1	-1.21905	-0.866667	-47	1
0.625	0.884615	-68	1	-1.33654	-0.884615	-55	1
0.631068	0.902913	-69	1	-1.41748	-0.912621	-63	1
0.631068	0.902913	-70	1	-1.49515	-0.92233	-70	1
0.631068	0.902913	-69	1	-1.5534	-0.932039	-72	1
0.625	0.884615	-68	1	-1.59615	-0.951923	-73	1
0.640777	0.873786	-67	1	-1.64078	-0.951456	-76	1
0.640777	0.883495	-70	1	-1.70874	-0.932039	-81	1
0.640777	0.893204	-72	1	-1.78641	-0.932039	-80	1
